str,en_US,zh_TW,zn_CN,vi_VN,ja_JP
please_save_the_screenshot,Please save the screenshot,請截圖保存,請截圖保存,,
official_website,official website,官方地址,官方地址,,
the_top_is_down,The top is down,頂到底了,頂到底了,,
its_too_deep_maam,"It's too deep, ma'am",太深了客倌,太深了客倌,,
take_your_time_dont_be_so_picky,"Take your time, don't be so picky",慢慢看，別這麼挑,慢慢看，別這麼挑,,
ive_reached_the_center_of_my_heart,I've reached the center of my heart,花心已抵達,花心已抵達,,
im_sure_your_are_the_same_kind_of_me,I'm sure you're the same kind of me,確認過眼神，您是同道中人,確認過眼神，您是同道中人,,
select_all,Select All,全選,全選,,
delete,Delete,刪除,刪除,,
there_is_nothing_here,There is nothing here,這裡什麼都沒有,這裡什麼都沒有,,
loading,Loading,讀取中,讀取中,,
entry_window,Entry window,進入櫥窗,進入櫥窗,,
username,Username,用戶名稱,用戶名稱,,
its_a_big_file,"It's a big file, so bear with me.",檔案很大，你忍一下,檔案很大，你忍一下,,
its_not_ready_yet,It's not ready yet. Take it easy.,還沒準備好，你先悠著來,還沒準備好，你先悠著來,,
its_about_to_happen,It's about to happen.,精彩即將呈現,精彩即將呈現,,
we_are_trying_to_load_t,We're trying to load it.,努力加載中,努力加載中,,
let_the_file_load_for_a_while,Let the file load for a while,讓檔案載一會兒,讓檔案載一會兒,,
its_worth_wating_for_the_good_stuff,It's worth waiting for the good stuff.,美好事物，值得等待,美好事物，值得等待,,
trying_to_move_bricks,Trying to move bricks,拼命搬磚中,拼命搬磚中,,
loading_now,Loading now,正在加载,正在加载,,
all_female_actors,All girls,全部女優,全部女優,,
login,Login,登入,登入,,
